etf,ticker,name,weight_pct,,updated_at
SPY,GOOGL,ALPHABET INC CLASS A,3.3,alphavantage,2026-08-30 13:53
SPY,AVGO,BROADCOM INC,2.55,alphavantage,2026-08-30 13:53
SPY,GOOG,ALPHABET INC CLASS C,2.42,alphavantage,2026-08-30 13:53
SPY,META,META PLATFORMS INC CLASS A,1.91,alphavantage,2026-08-30 13:53
SPY,MU,MICRON TECHNOLOGY INC,1.6,alphavantage,2026-08-30 13:53
SPY,TSLA,TESLA INC,1.47,alphavantage,2026-08-30 13:53
SPY,JPM,JPMORGAN CHASE & CO,1.45,alphavantage,2026-08-30 13:53
SPY,LLY,ELI LILLY AND CO,1.42,alphavantage,2026-08-30 13:53
SPY,BRK-B,BERKSHIRE HATHAWAY INC CLASS B,1.4,alphavantage,2026-08-30 13:53
SPY,AMD,ADVANCED MICRO DEVICES INC,1.19,alphavantage,2026-08-30 13:53
SPY,XOM,EXXONMOBIL HOLDINGS CORP,0.99,alphavantage,2026-08-30 13:53
SPY,JNJ,JOHNSON & JOHNSON,0.98,alphavantage,2026-08-30 13:53
SPY,V,VISA INC CLASS A,0.96,alphavantage,2026-08-30 13:53
SPY,MA,MASTERCARD INC CLASS A,0.73,alphavantage,2026-08-30 13:53
SPY,ABBV,ABBVIE INC,0.7,alphavantage,2026-08-30 13:53
SPY,WMT,WALMART INC,0.69,alphavantage,2026-08-30 13:53
SPY,CSCO,CISCO SYSTEMS INC,0.67,alphavantage,2026-08-30 13:53
SPY,INTC,INTEL CORP,0.66,alphavantage,2026-08-30 13:53
SPY,COST,COSTCO WHOLESALE CORP,0.64,alphavantage,2026-08-30 13:53
SPY,PLTR,n/a,0.62,alphavantage,2026-08-30 13:53
SPY,BAC,BANK OF AMERICA CORP,0.61,alphavantage,2026-08-30 13:53
SPY,LRCX,LAM RESEARCH CORP,0.59,alphavantage,2026-08-30 13:53
SPY,AMAT,APPLIED MATERIALS INC,0.58,alphavantage,2026-08-30 13:53
SPY,CAT,CATERPILLAR INC,0.57,alphavantage,2026-08-30 13:53
SPY,MRK,MERCK & CO INC,0.57,alphavantage,2026-08-30 13:53
SPY,CVX,CHEVRON CORP,0.57,alphavantage,2026-08-30 13:53
SPY,GE,GE AEROSPACE,0.56,alphavantage,2026-08-30 13:53
SPY,UNH,UNITEDHEALTH GROUP INC,0.55,alphavantage,2026-08-30 13:53
SPY,KO,COCA-COLA CO,0.53,alphavantage,2026-08-30 13:53
SPY,NFLX,NETFLIX INC,0.52,alphavantage,2026-08-30 13:53
SPY,PG,PROCTER & GAMBLE CO,0.51,alphavantage,2026-08-30 13:53
SPY,HD,THE HOME DEPOT INC,0.5,alphavantage,2026-08-30 13:53
SPY,PM,PHILIP MORRIS INTERNATIONAL INC,0.46,alphavantage,2026-08-30 13:53
SPY,GS,THE GOLDMAN SACHS GROUP INC,0.46,alphavantage,2026-08-30 13:53
SPY,RTX,RTX CORP,0.43,alphavantage,2026-08-30 13:53
SPY,PANW,PALO ALTO NETWORKS INC,0.42,alphavantage,2026-08-30 13:53
SPY,WFC,WELLS FARGO & CO,0.39,alphavantage,2026-08-30 13:53
SPY,GEV,GE VERNOVA INC,0.39,alphavantage,2026-08-30 13:53
SPY,MS,MORGAN STANLEY,0.39,alphavantage,2026-08-30 13:53
SPY,ORCL,ORACLE CORP,0.38,alphavantage,2026-08-30 13:53
SPY,TMO,THERMO FISHER SCIENTIFIC INC,0.36,alphavantage,2026-08-30 13:53
SPY,AMGN,AMGEN INC,0.36,alphavantage,2026-08-30 13:53
SPY,TXN,TEXAS INSTRUMENTS INC,0.36,alphavantage,2026-08-30 13:53
SPY,KLAC,KLA CORP,0.36,alphavantage,2026-08-30 13:53
SPY,C,CITIGROUP INC,0.34,alphavantage,2026-08-30 13:53
SPY,SNDK,SANDISK CORP ORDINARY SHARES,0.34,alphavantage,2026-08-30 13:53
QQQ,AAPL,Apple Inc,8.9,curado,2026-08-30 13:53
QQQ,MSFT,Microsoft Corp,8.1,curado,2026-08-30 13:53
QQQ,NVDA,NVIDIA Corp,8,curado,2026-08-30 13:53
QQQ,AMZN,Amazon.com Inc,5.4,curado,2026-08-30 13:53
QQQ,META,Meta Platforms,4.8,curado,2026-08-30 13:53
QQQ,AVGO,Broadcom Inc,4.6,curado,2026-08-30 13:53
QQQ,GOOGL,Alphabet Class A,4.2,curado,2026-08-30 13:53
QQQ,TSLA,Tesla Inc,3.6,curado,2026-08-30 13:53
QQQ,GOOG,Alphabet Class C,3.5,curado,2026-08-30 13:53
QQQ,COST,Costco Wholesale,2.7,curado,2026-08-30 13:53
QQQ,NFLX,Netflix Inc,1.9,curado,2026-08-30 13:53
QQQ,AMD,Advanced Micro Devices,1.7,curado,2026-08-30 13:53
QQQ,ADBE,Adobe Inc,1.5,curado,2026-08-30 13:53
QQQ,QCOM,Qualcomm Inc,1.5,curado,2026-08-30 13:53
QQQ,INTU,Intuit Inc,1.4,curado,2026-08-30 13:53
QQQ,TXN,Texas Instruments,1.3,curado,2026-08-30 13:53
QQQ,AMAT,Applied Materials,1.2,curado,2026-08-30 13:53
QQQ,AMGN,Amgen Inc,1.1,curado,2026-08-30 13:53
QQQ,HON,Honeywell International,1,curado,2026-08-30 13:53
QQQ,SBUX,Starbucks Corp,0.9,curado,2026-08-30 13:53
QQQ,ISRG,Intuitive Surgical,0.9,curado,2026-08-30 13:53
QQQ,MU,Micron Technology,0.8,curado,2026-08-30 13:53
QQQ,LRCX,Lam Research,0.8,curado,2026-08-30 13:53
QQQ,PDD,PDD Holdings,0.8,curado,2026-08-30 13:53
QQQ,REGN,Regeneron Pharmaceuticals,0.7,curado,2026-08-30 13:53
